jid,jname,jci
88,坤之复,众鬼所趋，反作大怪。九身无头，魂惊魄去，不可以居。
89,坤之无妄,延头远望，眯为目疾。不见叔姬，使伯心忧。
90,坤之大畜,典册法书，藏在兰台。虽遭乱溃，独不遇灾。
91,坤之颐,自卫反鲁，时不我与。冰炭异室，仁道隔塞。
92,坤之大过,瘤瘿秃疥，为身疮害。疾病癃残，常不远逮。
93,坤之坎,东齐郭卢，嫁于洛都。俊良美好，媒利过倍。
94,坤之离,齐鲁争言，战于龙门。构怨连祸，三世不安。
95,坤之咸,膏泽肥壤，农人丰敞。利居长安，历世无患。
96,坤之恒,仓盈庾亿，宜种黍稷。年岁丰熟，民得安息。
97,坤之遁,鸱鸮破斧，邦人危殆。赖其忠德，转祸为福，倾危复立。
98,坤之大壮,岁疾无年，虐政害民。乾溪骊山，秦楚结冤。
99,坤之晋,捯洁累累，缔结难解。嫫母衒嫁，媒不得坐，自为身祸。
100,坤之明夷,訾陬开门，鹤鸣弹冠，章甫进用，舞韶和鸾。三人翼事，国无灾患。
101,坤之家人,弟妹和居，与类相扶。愿慕群丑，不离其处。
102,坤之睽,邯郸反言，兄弟生患。涉叔忧恨，卒死不还。
103,坤之蹇,三人逐兔，各争有得，爱亡善走，多获鹿子。
104,坤之解,北辰紫宫，衣冠立中。含和建德，常受天福。
105,坤之损,拜跪请免，不得其哺。俯首衔枚，低头北走。
106,坤之益,鹤盗我珠，逃于东隅。求之郭嘘，不见所居。
107,坤之夬,一簧两舌，妄言谬语。三奸成虎，曾母投杼。
108,坤之姤,孤独特处，莫与为旅。身日劳苦，使布五谷，阴阳顺序。
109,坤之萃,褰衣涉河，涧流浚多。赖遇舟子，济脱无他。
110,坤之升,凭河登山，道路阻难，求事少便。
111,坤之困,兔罝之荣，不失其恭，和谦致乐，君子攸同。
112,坤之井,三女求夫，伺候山隅，不见复关，泣涕涟如。
113,坤之革,螟虫为贼，害我五谷。中溜空虚，家无所食。
114,坤之鼎,望尚阿衡，太宰国公。藩屏辅弼，福禄来同。
115,坤之震,三年生狗，以戌为母。荆夷上侵，姬伯出走。
116,坤之艮,途遏道塞，求事不得。
117,坤之渐,探怀得蚤，无有凶忧，所愿失道，善居渐好。
118,坤之归妹,飞楼属道，趾多搅垣，居之不安，覆厌为患。
119,坤之丰,义不胜情，以欲自倾，几危利宠，折角催颈。
120,坤之旅,潼翁蔚荟，扶首来会，津液来降，流淹滂霈。
121,坤之巽,白驹生刍，猗猗盛姝。赫喧君子，乐以忘忧。
122,坤之兑,车驰人趋，卷甲相仇。齐鲁寇战，败于犬丘。
123,坤之涣,举首望城，不见子贞，使我悔生。
124,坤之节,龙斗时门，失理伤贤。内畔外贼，则生祸难。
125,坤之中孚,安如泰山，福喜屡臻。虽有豹虎，不致危身。
126,坤之小过,初忧后喜，与福为市。八佾列陈，饮御嘉友。
127,坤之既济,持刀操肉，对酒不食。夫行从军，小子入狱，抱膝独宿。
128,坤之未济,阴衰老极，阳建其德。履离戴光，天下昭明。功业不长，虾蟆代王。
129,屯之屯,兵征大宛，北出玉关。与胡寇战，平城道西，七日绝粮，身几不全。
130,屯之乾,泛泛柏舟，流行不休。耿耿寤寐，心怀大忧。仁不逢时，身隐穷居。
131,屯之坤,采薪得麟，大命陨颠。豪雄争名，天下四分。
132,屯之蒙,山崩谷绝，天福尽竭。泾渭失纪，玉历尽已。
133,屯之需,夏台羑里，汤文所厄。鬼侯俞贿，商王解舍。
134,屯之讼,泥津污辱，弃捐沟渎。所共笑哭，终不显录。
135,屯之师,李梅冬实，国多盗贼。扰乱并作，君不能息。
136,屯之比,獐鹿逐牧，饱归其居。反还次舍，无有疾故。
137,屯之小畜,夹河为婚，期至无船。摇心失望，不见所欢。
138,屯之履,百足俱行，相福为强。三圣翼事，王室宠光。
139,屯之泰,坐位失处，不能自居。贼破王邑，阴阳颠倒。
140,屯之否,登几上舆，驾驷南游。合纵散横，燕齐以强。
141,屯之同人,三孙荷弩，无益于辅。城弱不守，邦君受讨。
142,屯之大有,河伯大呼，津不得渡。船空无人，往来亦难。
143,屯之谦,甘露醴泉，太平机关。仁德感应，岁乐民安。
144,屯之豫,重茵厚席，循皋採藿。虽踬不惧，反复其宅。
145,屯之随,太乙驾骝，从天上来。征我叔季，封为鲁侯。
146,屯之蛊,南巴六安，石解戟天。所指不已，耊老复丁。弊室旧嘘，更为新家。
147,屯之临,家给人足，颂声并作。四夷宾伏，干戈韬阁。
148,屯之观,东邻嫁女，为王妃后。庄公筑馆，以尊王母。归于京师，季姜悦喜。
149,屯之噬嗑,陈妻敬仲，兆兴齐姜。营丘是适，八世大昌。
150,屯之贲,路多枳棘，步刺我足。不利旅客，为心作毒。
151,屯之剥,天官列宿，五神共舍。宫阙光坚，君安所居。
152,屯之复,牧羊稻园，闻虎呻喧。惧畏惕息，终无祸患。
153,屯之无妄,鸣条之图，北奔犬胡。左衽为长，国号匈奴。主君旄头，立尊单于。
154,屯之大畜,克身洁吉，逢禹巡狩，锡我玄圭，拜受福佑。
155,屯之颐,冬华不实，国多盗贼。疾病难医，鬼哭其室。
156,屯之大过,襄送季女，至于荡道。齐子旦夕，留连久处。
157,屯之坎,朽根倒树，花叶落去。卒逢火焱，随风偃仆。
158,屯之离,阴变为阳，女化作男。治道得通，君臣相承。
159,屯之咸,炎绝续光，火灭复明。简易理得，以成乾功。
160,屯之恒,多载重负，捐弃于野。予母谁子，但自劳苦。
161,屯之遁,江河海泽，众利安宅，可以富有，饮御嘉客。
162,屯之大壮,冬采薇兰，地冻坚坼。利走室北，暮无所得。
163,屯之晋,乌鸣嘻嘻，天火将起。燔我室屋，灾及姬后。
164,屯之明夷,虿室蜂户，螯我手足。不可进取，为身害速。
165,屯之家人,崔嵬北岳，天神贵客。温仁正直，主布恩德。闵哀不已，蒙受大福。
166,屯之睽,伯蹇叔盲，莫与守床。失我衣裘，伐民除乡。
167,屯之蹇,为季求妇，家在东海。水长无船，不见所欢。
168,屯之解,山陵丘墓，魂魄失舍，精神尽竭，长寝不觉。
169,屯之损,踦牛失角，下山伤轴，失其利禄。
170,屯之益,水载船舟，无根以浮。往来溶溶，心劳且忧。
171,屯之夬,有鸟来飞，集于古树。鸣声可恶，主将出去。
172,屯之姤,东徙不时，触患离忧。井泥无濡，思叔旧居。
173,屯之萃,黄帝所生，伏羲之宇。兵刃不至，利以居止。
174,屯之升,东山救乱，处妇思夫。劳我君子，役无休已。
175,屯之困,跛踬未起，先利后市，不得鹿子。
176,屯之井,大蛇当路，使季畏惧。汤火之灾，切近我肤。赖其天幸，趋于王庐。
177,屯之革,从容长闲，游戏南山。拜祠祷神，神使无患。
178,屯之鼎,区脱康居，慕义入朝。湛露之欢，三爵毕恩。复归野庐，与母相扶。
179,屯之震,龟鳖列市，河海饶有。长钱山贾，商李悦喜。
180,屯之艮,年常蒙庆，今岁受福。三夫采葩，出必有得。
181,屯之渐,二人俱东，道路争讼。意乖不同，使君汹汹。
182,屯之归妹,树我藿豆，鹿兔为食。君不恤护，秋无收入。
183,屯之丰,黄鸟悲鸣，愁不见星。困于鸷鸟，鹯使我惊。
184,屯之旅,双凫俱飞，欲归稻食。经涉萑泽，为矢所射，伤我胸臆。
185,屯之巽,久客无依，思归我乡。雷雨盛溢，道未得通。
186,屯之兑,道路僻除，南至东辽。卫子善辞，使国无忧。
187,屯之涣,同枕同袍，中年相知。少贾无失，独居愁思。
188,屯之节,众神集众，相与议语。南国虐乱，百姓愁苦。兴师征讨，更立贤主。
189,屯之中孚,北陆闭蜇，隐伏不出。目盲耳聋，道路不通。
190,屯之小过,痴狂妄作，心逛善惑。迷行失路，不知南北。
191,屯之既济,栋隆辅强，宠贵日光。福善并作，乐以高明。
192,屯之未济,爱我婴女，牵衣不与。冀幸高贵，反曰下贱。
193,蒙之蒙,何草不黄，至未尽玄。室家分离，悲愁于心。
194,蒙之乾,海为水王，聪圣且明。百流归德，无有叛逆，常饶优足。
195,蒙之坤,天之所有，祸不过家。左辅右弼，金玉满堂。常盈不亡，富如敖仓。
196,蒙之屯,安息康居，异国穹庐。非吾习俗，使我心忧。
197,蒙之需,范公鸱夷，善贾饰资。东之营丘，易字子皮。把珠载金，多得利归。
198,蒙之讼,老杨日衰，条多枯枝。爵级不进，遂下摧隤。
199,蒙之师,小狐渡水，污濡其尾。利得无几，与道合契。
200,蒙之比,豕生鱼鲂，鼠舞庭堂。奸佞施毒，上下昏荒，君失其国。
201,蒙之小畜,天地配享，六位光明。阴阳顺序，以成和平。
202,蒙之履,踝踵足伤，右指病痈。失旅后时，利走不来。
203,蒙之泰,异体殊患，各有所属。喜邻孤媪，欲寄我家。王母骂詈，求之不得。
204,蒙之否,操稻乡亩，折祸稷黍。饮食充口，安利无咎。
205,蒙之同人,所受大喜，福禄重来。乐且日富，蒙庆得财。
206,蒙之大有,举杯饮酒，无益温寒，指直失取，亡利不欢。
207,蒙之谦,日月指望，光明盛昌。三圣茂承，功德大隆。
208,蒙之豫,猾夫争强，民去其乡。公孙叔子，战于城南。
209,蒙之随,猿堕高木，不踒手足。还归其室，保我金玉。
210,蒙之蛊,逐狐东山，水遏我前。深不可涉，失利后便。
211,蒙之临,凿井求玉，非卞氏宝。名困身辱，劳无所得。
212,蒙之观,黄玉温厚，君子所服。甘露溽暑，万物生茂。
213,蒙之噬嗑,画龙头颈，文章不成。甘言善语，说辞无名。
214,蒙之贲,招祸致凶，来弊我邦。病在手足，不得安息。
215,蒙之剥,履位乘势，靡有绝毙。替为隶圉，与众庶伍。
216,蒙之复,獐鹿雉兔，群聚东囿。庐黄白脊，俱往趋逐。九齚十得，君子有喜。
217,蒙之无妄,治金未成，纬画无名。长子逐兔，鹿起失路。后利不得，因无所据。
218,蒙之大畜,天厌周德，命与仁国。以礼靖民，兵革休息。
219,蒙之颐,重译贺芝，来除我忧。善说逐良，与喜相求。
220,蒙之大过,膏泽肥壤，人民孔乐。宜利俱止，长安富贵。
221,蒙之坎,白龙黑虎，起鬐暴怒。战于涿鹿，蚩尤败走。居止不殆，君安其所。
222,蒙之离,抱关传语，聋跛摧殆。众贱无下，灾殃所在。
223,蒙之咸,忧祸解除，喜至庆来。坐立欢门，与乐为邻。
224,蒙之恒,折锋载殳，舆马放休。狩军依营，天下安宁。
225,蒙之遁,至德之君，仁政且温。伊吕股肱，国富民安。
226,蒙之大壮,千里望城，不见山青。老兔虾蟆，远绝无家。
227,蒙之晋,有莘季女，为夏妃后。贵夫寿子，母字四海。
228,蒙之明夷,不虞之患，祸至无门。奄忽暴卒，痛伤我心。
229,蒙之家人,飞鹰退去，不食邻鸟。忧患解除，君主安居。
230,蒙之睽,跮蹉侧跌，申酉为祟。亥戌灭明，颜子隐藏。
231,蒙之蹇,司录凭怒，谋议无道。商民失政，殷人乏祀。
232,蒙之解,望鸡得雉，冀马获驹。大德生少，有廖从居。
233,蒙之损,忉忉怛怛，如将不活。黍稷之恩，灵辄以存。
234,蒙之益,莫莫辑辑，夜作昼匿。谋议我资，来攻我室。空尽我财，几无以食。
235,蒙之夬,天之所坏，不可强支。众口指笑，虽贵必危。
236,蒙之姤,目动睫瞤，喜来加身。举家蒙欢，吉利无殃。
237,蒙之萃,鼋羹芬香，染指弗尝。口饥于手，子公恨馋。
238,蒙之升,天福所丰，兆如飞龙。成子得志，六三以兴。
239,蒙之困,氓伯以婚，抱布自媒。弃礼急情，卒罹悔忧。
240,蒙之井,夏姬亲附，心听悦喜。利以搏取，无言不许。
241,蒙之革,南山昊天，刺政闵身。疾悲无辜，背憎为仇。
242,蒙之鼎,三人为旅，俱归北海。入门上堂，拜谒王母。劳赐我酒，欢乐无强。
243,蒙之震,愆淫旱疾，伤害稼穑。丧制病来，农人无食。
244,蒙之艮,攫饭把肉，以就口食。所往必得，无有虚乏。
245,蒙之渐,鸟飞无翼，兔走折足。虽欲会同，未得所欲。
246,蒙之归妹,体重飞难，不得逾关，不离室垣。
247,蒙之丰,四雄并处，人民愁苦。拥兵西东，不得安所。
248,蒙之旅,译重关牢，求解己忧。心感乃成，与喜俱居。
249,蒙之巽,患解忧除，王母相于。与喜俱来，使我安居。
250,蒙之兑,冬生不华，老女无家。霜冷蓬室，更为枯株。
251,蒙之涣,震慄恐惧，多所畏恶。行道留难，不可以步。
252,蒙之节,三人共妻，莫适为雌。子无名氏，公不可知。
253,蒙之中孚,早凋被霜，花叶不长。非时为灾，家受其殃。
254,蒙之小过,雉兔之东，狼虎所从，贪叨凶恶，不可止息。
255,蒙之既济,马惊破车，主坠深沟。身死魂去，离其室庐。
256,蒙之未济,山林麓薮，非人所往。鸟兽无礼，使我心苦。
257,需之需,久旱三年，草木不生。粢盛空乏，无以供灵。
258,需之乾,火灭复息，君明其德，仁人可遇，身受利福。
259,需之坤,温山松柏，常茂不落。鸾凤所庇，得其欢乐。
260,需之屯,西诛不复，恃强负力。倍道趋敌，师徒败覆。
261,需之蒙,三涂五岳，阳城太室，神明所伏，独无兵革。
262,需之讼,三牛生狗，以戌为母。荆夷上侵，姬伯出走。
263,需之师,凫游江海，役行千里。以为死亡，复见空素。长主凶忧。
264,需之比,太乙驾骝，从天上来，征君叔季，封为鲁候，无有凶忧。
265,需之小畜,纴绩独居，寡处无夫。阴阳失忘，为人仆使。
266,需之履,兵征大宛，北出玉门。与胡寇战，平城道西。七日绝粮，身几不全。
267,需之泰,楚灵暴虐，疲极民力。祸起乾溪，弃疾作毒。扶仗奔逃，身死亥室。
268,需之否,雌单独居，归其本巢。毛羽憔悴，志如死灰。
269,需之同人,两矛相刺，勇力钧敌。交绥结如，不破不缺。
270,需之大有,乘船渡济，载水逢火。赖幸免祸，蒙我生全。
271,需之谦,丧宠溢尤，政倾家覆。我宗失国，秦灭周室。
272,需之豫,冬无藏冰，春阳不通。阴流为贼，国被其殃。
273,需之随,田鼠野鸡，意常欲逃。拘制笼槛，不得动摇。
274,需之蛊,佩玉蕊兮，无所系之。旨酒一壶，莫与笑语。孤寡独特，常愁忧苦。
275,需之临,没游源口，求鲛为宝。家危自俱，复出生道。
276,需之观,河水孔穴，坏败我室。水深无岸，鱼鳖倾侧。
277,需之噬嗑,教羊牧兔，使鱼捕鼠。任非其人，费日无功。
278,需之贲,升户入室，就温燠食。冰冻北陆，不能相贼。
279,需之剥,孤竹之嘘，老妇无夫。伤于蒺藜，不见少妻。东郭棠姜，武氏破亡。
280,需之复,凶祸灾殃，日益明彰。福不可剺，三郤夷伤。
281,需之无妄,载璧秉珪，请命于河。周公作誓，冲人瘳愈。
282,需之大畜,鸟升鹊举，照临东海。龙降庭坚，为陶叔后。封圻英六，履禄绥厚。
283,需之颐,危坐至暮，请求不得。膏泽不降，政戾民忒。
284,需之大过,宜昌娶妇，东家歌舞。宴乐有序，长乐嘉喜。
285,需之坎,凿井求玉，非卞氏宝。名因身辱，劳无所得。
286,需之离,鸿鹄思其雄，欲随凤东。顺理羽翼，出次须日。中留北邑，复反其室。
287,需之咸,早霜晚雪，伤害禾麦。损功弃力，饥无所食。
288,需之恒,蝙螺生子，深目黑丑。虽饰相就，众人莫取。
289,需之遁,去如飞鸿，避凶直东。遂得全脱，与福相逢。
290,需之大壮,婚姻合配，同枕共牢，以降休嘉，子孙封候。
291,需之晋,咸阳辰巳，长安戌亥。丘陵生止，非鱼鰌市。不可辞阻，终无悔咎。
292,需之明夷,螟虫为贼，害我五谷。箪食空虚，家无所食。
293,需之家人,谋恩拜德，东归吾国。慷慨宴笑，欢乐有福。
294,需之睽,斋具赎狸，不听我辞。系于虎须，牵不得来。
295,需之蹇,比目附翼，欢乐相得。行止集周，终不离忒。
296,需之解,一指食肉，口无所得。染其鼎鼐，舌馋于腹。
297,需之损,曳纶江海，钩挂鲂鲤。王孙得利，以享仲友。
298,需之益,商纣牧野，颠败所在。赋敛重数，黎元愁苦。
299,需之夬,北辰紫宫，衣冠立中。含和建德，常受天福。
300,需之姤,轻战尚勇，不知兵权。为敌所制，从师北奔。
301,需之萃,大口宣舌，神使仲言。黄龙景星，出应德门。与福上天，天下安昌。
302,需之升,凶子祸孙，把剑向门。凶讼欢嚣，惊骇我家。
303,需之困,祝伯善言，能事鬼神。辞祁万岁，使君延年。
304,需之井,圭璧琮璋，执贽见王。百里宁戚，应聘齐秦。
305,需之革,昧旦乘车，履危蹈沟。亡失裙襦，催折两轴。
306,需之鼎,胶着木连，不出牛栏。斯飨羔羊，家室相安。
307,需之震,卷领遁世，仁德不舍。三圣攸同，周家茂兴。
308,需之艮,黍稷苗稻，垂秀方造，中旱不雨，伤风枯槁。
309,需之渐,冠带南游，与福喜逢。期于嘉贞，拜为公卿。
310,需之归妹,一巢九子，同公共母。柔顺利贞，出入不殆，福禄所在。
311,需之丰,韩氏长女，稼于东海。宜家富主，柔顺以居。利得过倍。
312,需之旅,因祸受福，喜盈我室，所愿必得。
313,需之巽,晋平有疾，迎医秦国。病乃大患，分为两竖。逃匿膏盲，和不能愈。
314,需之兑,牡飞门启，忧患大解。修福行善，不为身祸。
315,需之涣,追亡逐北，至止而得。雉叔相呼，反其室庐。
316,需之节,鸟铭既端，一呼三颠。动摇东西，危慄不安。疾病无患。
317,需之中孚,龙化为虎，泰山之阳。众多从者，莫敢救藏。
318,需之小过,焱风忽起，车驰揭揭。弃名追亡，失其和节，忧心辍辍。
319,需之既济,游居石门，禄安身全。受福西邻，归饮玉泉。
320,需之未济,登高上山，见王自言。申理我馋，得职蒙恩。
321,讼之讼,文巧俗弊，将反大质。僵死如麻，流血濡橹。皆知其母，不识其父，干戈乃止。
322,讼之乾,文王四乳，仁爱笃厚。子畜十男，夭折无有。
323,讼之坤,日入望东，不见子家。长女无夫，左手搔头。
324,讼之屯,东上泰山，见尧自言。申理我冤，以解忧患。
325,讼之蒙,奎轸温汤，过角宿房。宣时布和，无所不通。
326,讼之需,饮船牵头，虽拘无忧。王母善祷，祸不成灾。
327,讼之师,凫得水没，喜笑自啄。毛羽悦泽，利以攻玉。公出不复，伯氏客宿。
328,讼之比,水流趋下，欲至东海。求我所有，买鲂与鲤。
329,讼之小畜,獐鹿逐牧，安饱其居。反返次舍，无有疾故。
330,讼之履,树植藿豆，不得芸锄。王事靡盬，秋无所收。
331,讼之泰,弱水之西，有西王母。生不知死，与天相保。
332,讼之否,数穷廓落，困于历室。卒登玉堂，与尧侑食。
333,讼之同人,子鉏执麟，春秋作元。阴圣将终，尼父悲心。
334,讼之大有,尹氏伯奇，父子生离。无罪被辜，长舌所为。
335,讼之谦,播木折枝，与母别离。九皋难扣，绝不相知。
336,讼之豫,弱鸡无距，与鹊格斗。翅折目盲，为鸠所伤。
337,讼之随,甲乙丙丁，俱归我庭。三丑六子，入门见母。
338,讼之蛊,桑叶螟蠹，衣弊如络。女工不成，丝布为玉。
339,讼之临,开牢辟门，巡狩释冤。夏台羑里，汤文悦喜。
340,讼之观,钦明之德，坐前玉食。必保嘉美，长受安福。
341,讼之噬嗑,武夫司空，多口争讼。金火当户，民不安处，年饥无有。
342,讼之贲,紫阁九重，尊严在中。黄帝尧舜，履行至公。冠带垂衣，天下康宁。
343,讼之剥,负牛上山，力劣行难。烈风雨雪，遮遏我前。中道复还，忧苦自欢。
344,讼之复,褰兔缺唇，行难齿寒，口痛不言，为身生患。
345,讼之无妄,合体比翼，嘉耦相得，与君同好，使我有福。
346,讼之大畜,口啄卒卒，忧从中来。丧我宝贝，妻妾失位。
347,讼之颐,两心不同，或从西东。明论终日，莫适相从。
348,讼之大过,哑哑笑言，与善饮食。长乐行觞，千秋起舞，拜受大福。
349,讼之坎,初忧后喜，与福为市。八佾列陈，饮御诸友。
350,讼之离,西徙无家，破其新车。王孙失利，不如止居。
351,讼之咸,凤凰在左，麒麟处右。仁圣相遇，伊吕集聚。时无殃咎，福为我母。
352,讼之恒,区脱康居，慕仁入朝。湛露之欢，三爵毕恩，复归旧庐。
353,讼之遁,疾贫望幸，使伯行贩。关牢择羊，多得大牂。
354,讼之大壮,处高不伤，虽危不亡。握珠怀玉，还归其乡。
355,讼之晋,右手弃酒，左手牧牂。行逢礼御，饵得玉杯。
356,讼之明夷,养虎牧狼，还自贼伤。大勇小捷，虽危不亡。
357,讼之家人,戴尧扶禹，松乔彭祖。西遇王母，道路夷易，无敢难者。
358,讼之睽,秋冬探巢，不得鹊雏。衔指北去，愧我少姬。
359,讼之蹇,两羝三牂，俱为代乡。留连多难，损其食粮。
360,讼之解,南徙无庐，鸟破其巢。伐木思初，不利动摇。
361,讼之损,争讼不已，更相击剑。张季弱口，被发北走。
362,讼之益,延颈望酒，不入我口。初喜后否，得利无有。
363,讼之夬,被发倾走，寇逐我后。亡失刀兵，身全不伤。
364,讼之姤,麒凤所游，安乐无忧。君子抚民，世代千秋。
365,讼之萃,褰衣涉河，水深渍疲。赖幸舟子，济脱无他。
366,讼之升,愦愦不悦，忧从中来。丧我金罂，无妄失位。
367,讼之困,绊跳不远，心与言反。尼父望家，萏菡未华。
368,讼之井,大壮肥牸，惠我诸舅。内外和睦，不忧饥渴。
369,讼之革,黄帝建元，文德在身。禄若阳春，封为鲁君。
370,讼之鼎,虎聚摩牙，以待臀猪。往必伤亡，宜利止居。
371,讼之震,天地配享，六位光明。阴阳顺序，以成和平。
372,讼之艮,猿堕高木，不踒手足。保我金玉，还归其室。
